platform,lifespan_bucket,horizon_label,horizon_hours,life_stage_index,life_stage_bucket,market_count,mean_abs_move_to_final_cents,median_abs_move_to_final_cents,p90_abs_move_to_final_cents,mean_signed_move_to_final_cents,median_staleness_age_hours
polymarket,7-30d,7d,168.0,4,40-50%,6019,16.948371335210734,4.799999999999997,53.89993402304565,-0.6444174089211496,2.1358333333333235
polymarket,7-30d,7d,168.0,5,50-60%,2414,14.128877591636396,3.4000000000000057,46.45626189997294,-1.2379131915368866,7.039999999999992
polymarket,7-30d,7d,168.0,6,60-70%,2082,10.304989718101538,2.9000000000000057,31.000000800280016,-1.060188536736593,7.380138888888894
polymarket,7-30d,7d,168.0,7,70-80%,1972,8.657136621461328,2.8761989542782587,24.700000000000003,-0.33953034235845464,2.2844444444444463
polymarket,7-30d,3d,72.0,0,0-10%,4313,0.7727836848794423,0.0,0.0,-0.04633842795666665,258.5538888888889
polymarket,7-30d,3d,72.0,1,10-20%,6198,0.4809478749458768,0.0,0.0,-0.12227026983479354,93.42666666666666
polymarket,7-30d,3d,72.0,2,20-30%,5511,0.718810752861505,0.0,0.0,-0.02775948633849701,91.95777777777778
polymarket,7-30d,3d,72.0,3,30-40%,2590,1.844947779151772,0.0,1.9999991737394551,-0.4403493766886762,91.53444444444445
polymarket,7-30d,3d,72.0,4,40-50%,3825,2.1261174836116026,0.0,3.0000003379200044,-0.6186551718293567,91.4686111111111
polymarket,7-30d,3d,72.0,5,50-60%,5271,7.531638065587252,0.20000000000000284,24.900000000000006,-0.6810806935044477,44.62472222222222
polymarket,7-30d,3d,72.0,6,60-70%,4623,8.11422802671255,1.9999999898032925,25.326397931421603,-0.83538029400609,12.953611111111115
polymarket,7-30d,3d,72.0,7,70-80%,8246,6.076241865596639,1.9999969902751875,15.050008490002742,-0.26013432329293695,3.7247222222222263
polymarket,7-30d,3d,72.0,8,80-90%,5517,6.530972581419699,2.0,16.900000000000002,-0.28638108355606023,3.841111111111104
polymarket,7-30d,1d,24.0,0,0-10%,4141,0.2630848660586836,0.0,0.0,0.023192398971888004,306.6325
polymarket,7-30d,1d,24.0,1,10-20%,5987,0.08854603412016694,0.0,0.0,-0.011464102513941435,141.39055555555555
polymarket,7-30d,1d,24.0,2,20-30%,5265,0.19914974317875617,0.0,0.0,-0.012222280720883614,139.9686111111111
polymarket,7-30d,1d,24.0,3,30-40%,2240,0.4945465658450501,0.0,0.0,-0.023613338027271846,139.57958333333335
polymarket,7-30d,1d,24.0,4,40-50%,3221,0.43188600025596763,0.0,0.0,-0.07986878963051354,139.68583333333333
polymarket,7-30d,1d,24.0,5,50-60%,2569,0.7510128240232598,0.0,0.0,-0.05092693524700804,136.52305555555554
polymarket,7-30d,1d,24.0,6,60-70%,1365,2.8719415739128555,0.0,4.820423431325044,-0.7457516906667642,79.56277777777778
polymarket,7-30d,1d,24.0,7,70-80%,2178,3.5315847409831465,0.0,6.0,-0.6535000303516558,47.51763888888889
polymarket,7-30d,1d,24.0,8,80-90%,9204,7.00914172646292,1.4329577757587089,21.698977326668906,-0.3260104947551789,5.582222222222223
polymarket,7-30d,1d,24.0,9,90-100%,14080,4.816907969255379,1.364815784358452,9.513486222484719,0.006599577876989702,1.414305555555556
polymarket,7-30d,6h,6.0,0,0-10%,4101,0.11879560126623276,0.0,0.0,0.06524768612054145,324.5863888888889
polymarket,7-30d,6h,6.0,1,10-20%,5956,0.04822027968558793,0.0,0.0,-0.0009402308541596929,159.36208333333335
