platform,close_month,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,2022-05,50,52.5,50-55,4,2,0.5,0.52,-0.020000000000000018,0.15003570882017148,0.8499642911798285
kalshi,2022-05,55,57.5,55-60,5,3,0.6,0.5660000000000001,0.03399999999999992,0.23071993220883708,0.8823817688407467
kalshi,2022-05,60,62.5,60-65,4,3,0.75,0.615,0.135,0.3006360524426366,0.9544139373553637
kalshi,2022-05,65,67.5,65-70,4,1,0.25,0.66,-0.41000000000000003,0.045586062644636216,0.6993639475573634
kalshi,2022-05,70,72.5,70-75,6,4,0.6666666666666666,0.7216666666666667,-0.05500000000000005,0.29998832134152864,0.9032306674407831
kalshi,2022-05,75,77.5,75-80,7,4,0.5714285714285714,0.77,-0.19857142857142862,0.2504542304090258,0.8417830777373732
kalshi,2022-05,80,82.5,80-85,5,4,0.8,0.8079999999999999,-0.007999999999999896,0.3755282641185388,0.9637768390302125
kalshi,2022-05,85,87.5,85-90,7,7,1.0,0.8585714285714287,0.14142857142857135,0.6456611570247934,1.0
kalshi,2022-05,90,92.5,90-95,20,20,1.0,0.9225,0.07750000000000001,0.8388698745050667,1.0
kalshi,2022-05,95,97.5,95-100,162,161,0.9938271604938271,0.9827160493827161,0.011111111111111072,0.9658664892738077,0.9989095379714673
kalshi,2022-06,0,2.5,0-5,658,1,0.001519756838905775,0.016474164133738603,-0.014954407294832828,0.0002683178902181402,0.00855796320181355
kalshi,2022-06,5,7.5,5-10,64,2,0.03125,0.06203125,-0.030781250000000003,0.00861195771251659,0.10697493882294247
kalshi,2022-06,10,12.5,10-15,17,3,0.17647058823529413,0.11882352941176472,0.05764705882352941,0.0619101371254899,0.41029929017375777
kalshi,2022-06,15,17.5,15-20,15,2,0.13333333333333333,0.16399999999999998,-0.030666666666666648,0.0373604698913593,0.3788249920651624
kalshi,2022-06,20,22.5,20-25,5,1,0.2,0.22,-0.01999999999999999,0.03622316096978745,0.6244717358814613
kalshi,2022-06,25,27.5,25-30,3,1,0.3333333333333333,0.2733333333333333,0.06,0.0614903152761605,0.7923450448735121
kalshi,2022-06,30,32.5,30-35,4,2,0.5,0.325,0.175,0.15003570882017148,0.8499642911798285
kalshi,2022-06,35,37.5,35-40,2,0,0.0,0.375,-0.375,0.0,0.6576280471103807
kalshi,2022-06,40,42.5,40-45,4,1,0.25,0.4175,-0.16749999999999998,0.045586062644636216,0.6993639475573634
kalshi,2022-06,45,47.5,45-50,4,1,0.25,0.45,-0.2,0.045586062644636216,0.6993639475573634
kalshi,2022-06,50,52.5,50-55,4,2,0.5,0.505,-0.0050000000000000044,0.15003570882017148,0.8499642911798285
kalshi,2022-06,55,57.5,55-60,4,3,0.75,0.57,0.18000000000000005,0.3006360524426366,0.9544139373553637
kalshi,2022-06,60,62.5,60-65,1,0,0.0,0.62,-0.62,0.0,0.7934567085261071
kalshi,2022-06,65,67.5,65-70,1,1,1.0,0.66,0.33999999999999997,0.20654329147389294,1.0
kalshi,2022-06,70,72.5,70-75,3,2,0.6666666666666666,0.7233333333333333,-0.05666666666666664,0.2076549551264879,0.9385096847238394
kalshi,2022-06,75,77.5,75-80,6,3,0.5,0.77,-0.27,0.18761280689940868,0.8123871931005913
kalshi,2022-06,80,82.5,80-85,6,6,1.0,0.8283333333333333,0.17166666666666675,0.6096569663469354,0.9999999999999999
kalshi,2022-06,85,87.5,85-90,9,5,0.5555555555555556,0.8688888888888888,-0.31333333333333324,0.2666473457440297,0.811224570528086
kalshi,2022-06,90,92.5,90-95,14,13,0.9285714285714286,0.9214285714285714,0.0071428571428572285,0.6853073044604219,0.9872781138877085
kalshi,2022-06,95,97.5,95-100,144,143,0.9930555555555556,0.9827083333333333,0.010347222222222285,0.9617143276425165,0.9987731129695979
kalshi,2022-07,0,2.5,0-5,738,2,0.0027100271002710027,0.014905149051490514,-0.012195121951219513,0.0007434864788358891,0.009826964140272017
kalshi,2022-07,5,7.5,5-10,60,3,0.05,0.06433333333333334,-0.014333333333333337,0.01714919117914121,0.13700734625099836
kalshi,2022-07,10,12.5,10-15,20,1,0.05,0.11349999999999999,-0.06349999999999999,0.008881219432873136,0.23613589351256675
kalshi,2022-07,15,17.5,15-20,9,2,0.2222222222222222,0.17,0.0522222222222222,0.06322376231222723,0.5474166563271946
kalshi,2022-07,20,22.5,20-25,4,1,0.25,0.21,0.04000000000000001,0.045586062644636216,0.6993639475573634
