category_group,horizon_label,horizon_hours,freshness_filter,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
Politics,1h,1.0,<=24h,10,12.5,10-15,71,5,0.07042253521126761,0.11732394366197184,-0.04690140845070423,0.03045315340626454,0.1544921176729214
Politics,1h,1.0,<=24h,15,17.5,15-20,58,7,0.1206896551724138,0.16879310344827586,-0.04810344827586206,0.059708902448596696,0.22879592278231584
Politics,1h,1.0,<=24h,20,22.5,20-25,38,10,0.2631578947368421,0.2155263157894737,0.047631578947368386,0.14971462389701296,0.42009150206375323
Politics,1h,1.0,<=24h,25,27.5,25-30,32,10,0.3125,0.2684375,0.044062500000000004,0.17952352116618736,0.4856699969803239
Politics,1h,1.0,<=24h,30,32.5,30-35,25,7,0.28,0.3136,-0.03359999999999996,0.1428367383738157,0.47576971896558296
Politics,1h,1.0,<=24h,35,37.5,35-40,32,11,0.34375,0.3684375,-0.024687499999999973,0.20410233354328552,0.5168922649121406
Politics,1h,1.0,<=24h,40,42.5,40-45,20,4,0.2,0.42100000000000004,-0.22100000000000003,0.0806563532712,0.41602172202575993
Politics,1h,1.0,<=24h,45,47.5,45-50,20,6,0.3,0.469,-0.16899999999999998,0.14547527396899385,0.5189767762289793
Politics,1h,1.0,<=24h,50,52.5,50-55,23,6,0.2608695652173913,0.5143478260869565,-0.2534782608695652,0.1254844588924897,0.4647039054375056
Politics,1h,1.0,<=24h,55,57.5,55-60,13,5,0.38461538461538464,0.5676923076923077,-0.18307692307692308,0.17709446581236818,0.6447751902773146
Politics,1h,1.0,<=24h,60,62.5,60-65,23,10,0.43478260869565216,0.62,-0.18521739130434783,0.25634368332198654,0.6318895069498304
Politics,1h,1.0,<=24h,65,67.5,65-70,24,12,0.5,0.67125,-0.17125,0.31427131627763083,0.6857286837223692
Politics,1h,1.0,<=24h,70,72.5,70-75,17,13,0.7647058823529411,0.72,0.04470588235294115,0.5273775411082839,0.9044511092832406
Politics,1h,1.0,<=24h,75,77.5,75-80,18,11,0.6111111111111112,0.7566666666666667,-0.14555555555555555,0.3861866858065617,0.7969500807306884
Politics,1h,1.0,<=24h,80,82.5,80-85,26,21,0.8076923076923077,0.8165384615384617,-0.008846153846153948,0.6212336384535001,0.9149306422821174
Politics,1h,1.0,<=24h,85,87.5,85-90,30,25,0.8333333333333334,0.8740000000000001,-0.04066666666666674,0.6643529481431982,0.9266356575964831
Politics,1h,1.0,<=24h,90,92.5,90-95,56,53,0.9464285714285714,0.921607142857143,0.02482142857142844,0.8539246046357077,0.9816145520713321
Politics,1h,1.0,<=24h,95,97.5,95-100,2174,2169,0.9977000919963201,0.9877460901563937,0.009954001839926452,0.9946271059808951,0.999017243543882
Science/Tech,30d,720.0,all,0,2.5,0-5,50,1,0.02,0.022400000000000003,-0.002400000000000003,0.0035391680889764604,0.10495686471836953
Science/Tech,30d,720.0,all,5,7.5,5-10,28,2,0.07142857142857142,0.06821428571428571,0.003214285714285711,0.019811647447770794,0.2264573842591786
Science/Tech,30d,720.0,all,10,12.5,10-15,16,3,0.1875,0.118125,0.069375,0.06591478773586765,0.4300935986845823
Science/Tech,30d,720.0,all,15,17.5,15-20,10,2,0.2,0.17600000000000002,0.023999999999999994,0.056680947980693314,0.5098431532792765
Science/Tech,30d,720.0,all,20,22.5,20-25,12,1,0.08333333333333333,0.21416666666666667,-0.13083333333333336,0.014864709450773478,0.35388592179859524
Science/Tech,30d,720.0,all,25,27.5,25-30,3,1,0.3333333333333333,0.2533333333333333,0.08000000000000002,0.0614903152761605,0.7923450448735121
Science/Tech,30d,720.0,all,30,32.5,30-35,5,2,0.4,0.316,0.08400000000000002,0.1176182311592533,0.769280067791163
Science/Tech,30d,720.0,all,35,37.5,35-40,4,0,0.0,0.3625,-0.3625,0.0,0.48990002040399916
Science/Tech,30d,720.0,all,40,42.5,40-45,4,2,0.5,0.4325,0.0675,0.15003570882017148,0.8499642911798285
Science/Tech,30d,720.0,all,45,47.5,45-50,4,2,0.5,0.4825,0.017500000000000016,0.15003570882017148,0.8499642911798285
Science/Tech,30d,720.0,all,50,52.5,50-55,3,2,0.6666666666666666,0.5166666666666666,0.15000000000000002,0.2076549551264879,0.9385096847238394
Science/Tech,30d,720.0,all,55,57.5,55-60,4,3,0.75,0.57,0.18000000000000005,0.3006360524426366,0.9544139373553637
Science/Tech,30d,720.0,all,60,62.5,60-65,6,2,0.3333333333333333,0.6183333333333334,-0.2850000000000001,0.09676933255921683,0.7000116786584712
Science/Tech,30d,720.0,all,65,67.5,65-70,8,5,0.625,0.67375,-0.04874999999999996,0.30573785458380187,0.863158240538479
